Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780627867,1000,,Aggregated,477.700000,0.000000,100,110,110,120,140,160,200,220,300,330,340,30252,0,100,87.54457488281733,0.5664920008712215,338.55760999904305,11053.039567631891
1780627868,1000,,Aggregated,478.800000,0.000000,100,110,110,120,140,160,200,220,300,330,340,31686,0,100,86.97386713766363,0.5664920008712215,338.55760999904305,11032.27046645206
1780627869,1000,,Aggregated,478.800000,0.000000,100,110,110,120,140,160,200,220,300,330,340,31686,0,100,86.97386713766363,0.5664920008712215,338.55760999904305,11032.27046645206
1780627870,1000,,Aggregated,478.800000,0.000000,100,110,110,120,140,160,200,220,300,330,340,31686,0,100,86.97386713766363,0.5664920008712215,338.55760999904305,11032.27046645206
1780627871,1000,,Aggregated,474.800000,0.000000,100,110,110,120,140,160,200,220,310,330,340,33117,0,100,87.57787669006939,0.5664920008712215,338.55760999904305,11039.966573059153
1780627872,1000,,Aggregated,474.800000,0.000000,100,110,110,120,140,160,200,220,310,330,340,33117,0,100,87.57787669006939,0.5664920008712215,338.55760999904305,11039.966573059153
1780627873,1000,,Aggregated,474.800000,0.000000,100,110,110,120,140,160,200,220,310,330,340,33117,0,100,87.57787669006939,0.5664920008712215,338.55760999904305,11039.966573059153
1780627874,1000,,Aggregated,476.000000,0.000000,100,110,110,120,140,160,200,220,310,330,340,34547,0,100,87.49078236087068,0.5664920008712215,338.55760999904305,11046.464931831997
1780627875,1000,,Aggregated,476.000000,0.000000,100,110,110,120,140,160,200,220,310,330,340,34547,0,100,87.49078236087068,0.5664920008712215,338.55760999904305,11046.464931831997
1780627876,1000,,Aggregated,476.000000,0.000000,100,110,110,120,140,160,200,220,310,330,340,34547,0,100,87.49078236087068,0.5664920008712215,338.55760999904305,11046.464931831997
1780627877,1000,,Aggregated,477.300000,0.000000,100,110,110,120,140,160,200,220,310,330,340,36009,0,100,87.29475515604354,0.5624089990305947,338.55760999904305,11050.816656946874
1780627878,1000,,Aggregated,477.300000,0.000000,100,110,110,120,140,160,200,220,310,330,340,36009,0,100,87.29475515604354,0.5624089990305947,338.55760999904305,11050.816656946874
1780627879,1000,,Aggregated,477.300000,0.000000,100,110,110,120,140,160,200,220,310,330,340,36009,0,100,87.29475515604354,0.5624089990305947,338.55760999904305,11050.816656946874
1780627880,1000,,Aggregated,481.500000,0.000000,100,110,110,120,140,160,190,220,310,330,340,37468,0,100,87.07083708340453,0.5624089990305947,338.55760999904305,11055.846669157681
1780627881,1000,,Aggregated,481.500000,0.000000,100,110,110,120,140,160,190,220,310,330,340,37468,0,100,87.07083708340453,0.5624089990305947,338.55760999904305,11055.846669157681
1780627882,1000,,Aggregated,481.500000,0.000000,100,110,110,120,140,160,190,220,310,330,340,37468,0,100,87.07083708340453,0.5624089990305947,338.55760999904305,11055.846669157681
1780627883,1000,,Aggregated,483.100000,0.000000,100,110,110,120,140,160,190,220,310,330,340,38917,0,100,86.8801674705405,0.5624089990305947,338.55760999904305,11048.980933782152
1780627884,1000,,Aggregated,483.100000,0.000000,100,110,110,120,140,160,190,220,310,330,340,38917,0,100,86.8801674705405,0.5624089990305947,338.55760999904305,11048.980933782152
1780627885,1000,,Aggregated,483.100000,0.000000,100,110,110,120,140,160,190,220,310,330,340,38917,0,100,86.8801674705405,0.5624089990305947,338.55760999904305,11048.980933782152
1780627886,1000,,Aggregated,481.300000,0.000000,100,110,110,120,140,160,190,220,300,330,340,40331,0,100,86.73289281113783,0.5624089990305947,338.55760999904305,11044.374996900648
1780627887,1000,,Aggregated,481.300000,0.000000,100,110,110,120,140,160,190,220,300,330,340,40331,0,100,86.73289281113783,0.5624089990305947,338.55760999904305,11044.374996900648
1780627888,1000,,Aggregated,481.300000,0.000000,100,110,110,120,140,160,190,220,300,330,340,40331,0,100,86.73289281113783,0.5624089990305947,338.55760999904305,11044.374996900648
1780627889,1000,,Aggregated,482.100000,0.000000,100,110,110,120,140,160,190,210,300,330,340,41762,0,100,86.566799145491,0.5624089990305947,338.55760999904305,11040.694794310617
1780627890,1000,,Aggregated,482.100000,0.000000,100,110,110,120,140,160,190,210,300,330,340,41762,0,100,86.566799145491,0.5624089990305947,338.55760999904305,11040.694794310617
1780627891,1000,,Aggregated,482.100000,0.000000,100,110,110,120,140,160,190,210,300,330,340,41762,0,100,86.566799145491,0.5624089990305947,338.55760999904305,11040.694794310617
